Customer ID,RFM Score,Average Balance Feed Index,Number of Transactions,Personal Debt to Equity Ratio,Months Current Account,Number of Loan Accounts,Has Bad Payment Record,Members Within Household,Number of Call Center Contacts,Age Youngest Child,Number of Workers in Household,Percentage White Collar Workers,Household Debt to Equity Ratio,Income,Weeks Since Last Offer,Homeowner,Annual value,Last_offer_date,Accepted Credit Card
5409,9.82899,229,2,40,13,0,0,5,9,11,6,37,56,37073,17,F,90,19/06/2017,F
5477,11.80799,8,1,47,5,2,0,4,9,13,13,30,56,50721,22,F,260,05/03/2018,F
5507,0,0,0,35,31,0,0,4,0,1,9,33,57,43578,27,T,0,21/03/2019,T
8,0,0,0,45,-3,0,0,1,11,15,7,30,62,69553,51,F,0,21/08/2019,F
158,0,0,0,13,39,0,0,6,11,0,7,27,64,37502,8,T,0,07/07/2018,F
173,11.819,119,1,45,6,3,0,5,9,14,10,28,60,34722,32,F,360,15/11/2018,F
5408,0,0,0,40,5,0,0,4,7,7,10,40,48,56607,16,F,0,13/04/2017,F
5579,0,0,0,36,28,0,0,1,8,7,4,36,58,55328,21,F,0,22/08/2018,F
5695,7.879,179,1,26,8,0,0,5,10,0,15,31,52,42752,34,F,30,14/12/2017,F
5732,9.91999,120,1,33,25,1,0,5,9,2,12,29,57,71450,46,T,160,04/06/2018,F
5747,0,0,0,64,14,0,0,7,0,31,14,23,62,61260,48,T,0,20/10/2020,F
5832,12.719,219,1,43,7,1,0,3,8,14,12,42,44,59133,32,F,160,18/10/2017,F
5803,0,0,0,37,6,3,0,5,10,10,16,37,45,33549,14,F,300,02/12/2017,F
5833,10.745667,279,1,35,19,0,0,3,8,6,14,44,40,56458,28,F,120,03/07/2017,F
5960,7.584,84,1,59,8,0,0,4,11,29,10,24,65,36927,46,F,90,18/03/2020,F
323,9.772333,139,1,15,26,0,0,3,11,0,7,27,64,37502,49,F,60,12/03/2017,T
442,0,0,0,52,12,3,0,6,10,21,11,36,51,43484,41,F,300,23/01/2019,F
6101,11.81999,120,1,41,20,0,0,3,11,7,4,36,58,55328,30,F,60,29/09/2020,T
6331,0,0,0,78,-5,0,0,3,9,49,7,31,61,62274,9,T,0,10/05/2017,T
6366,0,0,0,37,16,0,0,3,10,6,14,44,40,56458,12,T,0,10/04/2017,F
539,0,0,0,58,5,0,0,7,8,31,11,26,61,42991,43,F,0,08/03/2018,F
6337,12.762313,229,3,48,33,0,0,5,11,23,12,43,44,54415,5,F,150,16/03/2016,F
742,0,0,0,32,13,4,0,2,10,0,15,34,50,26710,49,F,400,28/07/2017,F
959,0,0,0,49,-2,5,0,4,5,22,10,32,56,64222,42,F,500,19/04/2018,F
6882,7.865667,699,1,52,27,1,0,6,10,22,8,46,45,25176,31,T,220,06/03/2017,F
6946,0,0,0,20,5,0,0,5,7,0,7,33,58,65263,33,F,0,16/04/2018,T
7068,0,0,0,42,-4,4,0,3,9,10,10,24,65,59379,50,F,400,13/05/2019,F
7100,8.85399,154,2,28,17,1,0,2,6,0,10,36,52,43935,25,F,160,13/08/2016,F
7186,0,0,0,28,12,2,0,4,0,0,14,29,55,69766,9,T,200,05/08/2018,F
7266,0,0,0,41,24,1,0,1,0,13,7,39,52,30933,10,F,100,25/08/2017,F
6989,0,0,0,28,-1,0,0,1,0,0,18,18,63,52174,35,F,0,11/06/2019,T
7048,0,0,0,49,25,1,0,2,0,18,14,26,59,39840,2,F,100,22/04/2018,F
7367,8.966657,100,1,43,18,0,0,2,11,15,9,42,48,53970,10,T,90,25/05/2018,F
10692,0,0,0,44,10,1,0,3,10,13,7,39,52,30933,4,F,100,11/06/2017,F
1478,0,0,0,40,36,2,0,2,4,10,8,44,47,48069,2,F,200,09/04/2016,F
1644,0,0,0,43,17,1,0,6,10,12,10,36,53,72513,31,T,100,02/01/2019,F
10844,0,0,0,22,-2,2,0,6,8,0,8,32,59,79747,3,F,200,29/03/2016,F
37,0,0,0,32,-4,1,0,1,0,1,8,25,66,35879,49,F,100,09/03/2017,F
11044,0,0,0,64,32,0,0,5,10,30,8,27,63,37103,14,F,0,24/11/2018,F
53,12.995667,129,1,34,36,0,0,2,9,4,14,33,51,44429,37,F,120,01/10/2017,F
1695,0,0,0,38,32,0,0,5,9,10,11,43,45,56824,35,F,0,18/11/2016,F
1794,8.083323,150,1,33,9,1,0,4,10,2,12,46,41,45864,2,F,130,30/04/2017,F
11362,11.248,148,2,39,39,0,0,3,11,13,11,27,61,54716,14,T,120,11/02/2019,F
11380,0,0,0,50,-1,0,0,2,9,20,14,21,63,54532,17,T,60,30/06/2019,F
469,12.39993,200,3,37,24,1,0,4,8,4,8,40,51,52002,25,F,190,26/08/2016,T
11548,9.902333,169,1,44,36,1,0,4,9,19,13,26,59,52733,36,F,220,12/03/2020,F
11565,0,0,0,16,35,1,0,3,11,0,16,26,56,54243,2,T,100,07/09/2017,F
769,8.665667,299,1,33,24,0,0,2,10,1,10,19,69,68382,47,F,60,03/01/2016,F
5471,0,0,0,38,-5,1,0,3,10,8,9,20,69,54304,5,T,100,28/02/2017,T
5504,0,0,0,40,8,0,0,3,9,8,9,22,67,36405,9,F,0,13/04/2019,F
5520,9.215667,249,1,46,32,0,0,5,10,15,11,23,64,66704,6,F,60,22/10/2020,F
11814,0,0,0,30,34,2,0,6,11,0,10,44,44,41497,13,F,200,12/02/2016,F
11831,0,0,0,58,5,2,0,7,6,28,9,41,48,72258,43,T,200,03/03/2018,F
1012,0,0,0,41,31,0,0,2,11,14,8,33,57,38068,43,T,0,11/05/2017,F
5606,0,0,0,36,8,1,0,2,9,8,13,36,49,58877,43,F,100,05/07/2019,F
5656,8.60899,109,2,44,32,0,0,1,11,13,8,32,58,55140,22,F,120,28/03/2018,F
